[2025-08-29T20:04:35.053Z] GET / -> 200 (15ms)
[2025-08-29T20:04:35.195Z] GET /@react-refresh -> 200 (2ms)
[2025-08-29T20:04:35.204Z] GET /src/main.tsx -> 200 (11ms)
[2025-08-29T20:04:35.204Z] GET /@vite/client -> 200 (12ms)
[2025-08-29T20:04:35.222Z] GET /src/App.tsx -> 200 (3ms)
[2025-08-29T20:04:35.222Z] GET /src/styles/global.ts -> 200 (3ms)
[2025-08-29T20:04:35.273Z] GET /node_modules/vite/dist/client/env.mjs -> 200 (54ms)
[2025-08-29T20:04:35.304Z] GET /src/contexts/AuthContext.tsx -> 500 (32ms)
[2025-08-29T20:04:35.305Z] GET /src/components/Navbar.tsx -> 200 (32ms)
[2025-08-29T20:04:35.306Z] GET /src/components/Sidebar.tsx -> 200 (33ms)
[2025-08-29T20:04:35.306Z] GET /src/components/CredentialSetupModal.tsx -> 200 (33ms)
[2025-08-29T20:04:35.306Z] GET /src/pages/Flows.ts -> 200 (33ms)
[2025-08-29T20:04:35.306Z] GET /src/pages/Dashboard.tsx -> 200 (33ms)
[2025-08-29T20:04:35.306Z] GET /src/pages/Configuration.tsx -> 200 (33ms)
[2025-08-29T20:04:35.306Z] GET /src/pages/Documentation.tsx -> 200 (33ms)
[2025-08-29T20:04:35.315Z] GET /src/pages/Callback.tsx -> 200 (42ms)
[2025-08-29T20:04:35.318Z] GET /src/pages/Login.tsx -> 200 (45ms)
[2025-08-29T20:04:35.348Z] GET /favicon.ico -> 200 (7ms)
[2025-08-29T20:04:35.397Z] GET /node_modules/.vite/deps/react.js?v=d7c6359b -> 200 (178ms)
[2025-08-29T20:04:35.397Z] GET /node_modules/.vite/deps/react-dom_client.js?v=6dfdb323 -> 200 (178ms)
[2025-08-29T20:04:35.401Z] GET /node_modules/.vite/deps/react_jsx-dev-runtime.js?v=d7c6359b -> 200 (183ms)
[2025-08-29T20:04:35.402Z] GET /node_modules/.vite/deps/styled-components.js?v=11ca0f80 -> 200 (183ms)
[2025-08-29T20:04:35.402Z] GET /node_modules/.vite/deps/react-router-dom.js?v=f92f0902 -> 200 (183ms)
[2025-08-29T20:04:40.313Z] GET / -> 200 (3ms)
[2025-08-29T20:04:40.328Z] GET /@vite/client -> 200 (0ms)
[2025-08-29T20:04:40.335Z] GET /src/main.tsx -> 200 (1ms)
[2025-08-29T20:04:40.336Z] GET /node_modules/vite/dist/client/env.mjs -> 200 (1ms)
[2025-08-29T20:04:40.336Z] GET /@react-refresh -> 200 (1ms)
[2025-08-29T20:04:40.345Z] GET /node_modules/.vite/deps/react_jsx-dev-runtime.js?v=d7c6359b -> 200 (4ms)
[2025-08-29T20:04:40.345Z] GET /node_modules/.vite/deps/react.js?v=d7c6359b -> 200 (3ms)
[2025-08-29T20:04:40.345Z] GET /src/App.tsx -> 200 (2ms)
[2025-08-29T20:04:40.345Z] GET /node_modules/.vite/deps/react-dom_client.js?v=6dfdb323 -> 200 (3ms)
[2025-08-29T20:04:40.345Z] GET /node_modules/.vite/deps/react-router-dom.js?v=f92f0902 -> 200 (2ms)
[2025-08-29T20:04:40.345Z] GET /src/styles/global.ts -> 200 (1ms)
[2025-08-29T20:04:40.345Z] GET /node_modules/.vite/deps/styled-components.js?v=11ca0f80 -> 200 (1ms)
[2025-08-29T20:04:40.355Z] GET /node_modules/.vite/deps/chunk-AMZ7Q62Q.js?v=f87db54d -> 200 (3ms)
[2025-08-29T20:04:40.356Z] GET /node_modules/.vite/deps/chunk-XHCDW3LY.js?v=f87db54d -> 200 (4ms)
[2025-08-29T20:04:40.356Z] GET /src/components/Navbar.tsx -> 200 (2ms)
[2025-08-29T20:04:40.360Z] GET /src/components/Sidebar.tsx -> 200 (5ms)
[2025-08-29T20:04:40.360Z] GET /src/pages/Flows.ts -> 200 (4ms)
[2025-08-29T20:04:40.360Z] GET /src/pages/Configuration.tsx -> 200 (3ms)
[2025-08-29T20:04:40.360Z] GET /src/pages/Documentation.tsx -> 200 (3ms)
[2025-08-29T20:04:40.360Z] GET /src/pages/Dashboard.tsx -> 200 (4ms)
[2025-08-29T20:04:40.360Z] GET /src/components/CredentialSetupModal.tsx -> 200 (4ms)
[2025-08-29T20:04:40.360Z] GET /src/pages/Login.tsx -> 200 (3ms)
[2025-08-29T20:04:40.360Z] GET /src/pages/Callback.tsx -> 200 (2ms)
[2025-08-29T20:04:40.362Z] GET /node_modules/.vite/deps/react-icons_fi.js?v=51914c32 -> 200 (3ms)
[2025-08-29T20:04:40.369Z] GET /src/components/Card.tsx -> 200 (7ms)
[2025-08-29T20:04:40.374Z] GET /src/contexts/AuthContext.tsx -> 500 (20ms)
[2025-08-29T20:04:40.387Z] GET /favicon.ico -> 200 (1ms)
[2025-08-29T20:06:25.895Z] GET / -> 200 (20ms)
[2025-08-29T20:06:26.091Z] GET /@react-refresh -> 200 (7ms)
[2025-08-29T20:06:26.102Z] GET /@vite/client -> 200 (21ms)
[2025-08-29T20:06:26.103Z] GET /src/main.tsx -> 200 (19ms)
[2025-08-29T20:06:26.136Z] GET /node_modules/.vite/deps/react.js?v=bcf562e2 -> 200 (9ms)
[2025-08-29T20:06:26.136Z] GET /node_modules/.vite/deps/react-dom_client.js?v=bcf562e2 -> 200 (8ms)
[2025-08-29T20:06:26.136Z] GET /node_modules/.vite/deps/react_jsx-dev-runtime.js?v=bcf562e2 -> 200 (9ms)
[2025-08-29T20:06:26.136Z] GET /node_modules/.vite/deps/react-router-dom.js?v=bcf562e2 -> 200 (8ms)
[2025-08-29T20:06:26.137Z] GET /node_modules/.vite/deps/styled-components.js?v=bcf562e2 -> 200 (8ms)
[2025-08-29T20:06:26.138Z] GET /src/App.tsx -> 200 (9ms)
